dispell	무효화
psionic powers overview	사이오닉 파워 개요
manifesting powers	파워 구현
choosing a power	파워 선택하기
power failure	파워 실패
the power’s result	파워의 결과
combining psionic and magical effects	사이오닉과 마법 효과 조합하기
adding powers	파워 추가하기
manifest an unknown power from another’s powers known	다른이의 모르는 파워 구현
using stored power points	저장된 파워 포인트 사용하기
psi-like abilities	유사사이오닉 능력
power descriptions	파워 설명
new action types	새로운 행동 유형
age, height, and weight	나이, 키, 몸무게
the power point reserve	파워 포인트 비축
abilities and manifesters	능력치와 구현자
psicrystal ability descriptions	정신결정 능력 능력
monk abilities	수도사 능력
bolt	화살복제
psi-like abilities and feats	유사사이오닉 능력과 특기
creatures with “psionics” entries	사이오닉 항목이 있는 생명체
psionic versions of creatures	생명체의 사이오닉 버전
reading psionic creature entries	사이오닉 생명체 항목 읽기
creatures with psi-like abilities	유사사이오닉 능력을 가진 생명체
creating an astral construct	영적 구조물 만들기
blues as characters	파랑이를 캐릭터로
dromites as characters	드로마이트를 캐릭터로
duergar as characters	듀에르가를 캐릭터로
elans as characters	엘란을 캐릭터로
half-giants as characters	하프자이언트를 캐릭터로
maenads as characters	매나드를 캐릭터로
creating a phrenic creature	정신계 생명체 만들기
unbodied as characters	무육체를 캐릭터로
xephs as characters	제프를 캐릭터로
power trigger	파워 trigger
saving throws against psionic item powers	사이오닉 아이템이 가진 힘에 대한 내성 굴림
damaging psionic items	사이오닉 아이템의 피해
charges and multiple uses	충전과 여러번 사용
magic items for psionic characters	사이오닉 캐릭터를 위한 마법 아이템
psionic item descriptions	사이오닉 아이템 설명
market price	시장 가격
random psionic items	임의 사이오닉 아이템
psionic armor and shield special ability descriptions	사이오닉 갑옷 및 방패 특수 능력 설명
psionic weapon special ability descriptions	사이오닉 무기 특수 능력 설명
psicrown descriptions	사이크라운 설명
universal item descriptions	우주적 아이템 설명
specific cursed item	특정 저주 받은 아이템
creating psionic items	사이오닉 아이템 제작
creating dorjes	도르제 제작
creating power stones	파워스톤 제작
creating psicrowns	사이크라운 제작
creating psionic tattoos	사이오닉 문신 제작
creating universal items	우주적 아이템 제작
mental pinnaclem	정신적 pinnaclem
adding a second class	보조 직업 추가하기
epic class progressions	에픽 직업 성장
familiars at epic level	에픽 레벨에서 패밀리어
epic psionic class progressions	에픽 사이오닉 직업 성장
no epic bonus power progression	에픽 보너스 파워 성장 없음
psicrystals at epic level	에픽 레벨에서의 정신결정
epic prestige class progressions	에픽 상위직 진행
table : the divine emissary	표: 신성 사절단
using spot to read lips	독순술을 위해 감지 사용하기
acquiring epic feats	에픽 특기 획득하기
types of epic feats	에픽 특기의 유형
additional magic item space	추가 마법 아이템 공간
great smiting	상급 처벌
spell slots above 9th level	9 레벨 이후 주문 슬롯
what are epic spells?	에픽 주문이란 무엇인가?
acquiring epic spells	에픽 주문 획득하기
epic spell formulas and calculations	에픽 주문 공식과 계산
dispelling, epic spells, and antimagic field	무효화, 에픽 주문, 대마법 보호장
epic spell descriptions	에픽 주문 설명
seed descriptions	씨앗 설명
creating epic magic items	에픽 마법 아이템 제작
epic armor and shield base price	에픽 갑옷과 방패 기본 가격
epic armor and shield special ability descriptions	에픽 갑옷과 방패 특수 능력 설명
epic weapon base price	에픽 무기 기본 가격
epic weapon special ability descriptions	에픽 무기 특수 능력 설명
nonepic magic item	비 에픽 마법 아이템
epic ring descriptions	에픽 반지 설명
epic rod descriptions	에픽 마법봉 설명
epic staff descriptions	에픽 마법지팡이 설명
epic wondrous item descriptions	에픽 기타 아이템 설명
market price modifier	시장가 수정치
intelligent item abilities	지능있는 아이템 능력
special purpose power	특별한 목적의 능력
creating a demilich	데밀리치 만들기
epic dragon age categories	에픽 드래곤 나이 분류
epic dragon space and reach	에픽 드래곤 영역과 도달범위
epic dragon overland flying speeds	에픽 드래곤 대륙 횡단 비행 속도
force dragons by age	힘의 드래곤의 나이
force dragon abilities by age	힘의 드래곤 나이 별 능력
sample force dragon,adult	힘의 드래곤 샘플, 성인
prismatic dragons by age	무지갯빛 드래곤 나이
prismatic dragon abilities by age	무지갯빛 드래곤 나이 별 능력
sample prismatic dragon, old	무지갯빛 드래곤 샘플, 노령
leshay weapons	레샤이 무기
creating a pseudonatural creature	유사자연 트롤 만들기
creating a worm that walks	걷는 벌레 만들기
obstacles and hazards	방해물과 위험요소
divine abilities and feats	신성 능력치와 특기
salient divine ability descriptions	특화 신성 능력 설명
divine abilities	신성 능력
emotion	감정
power word, blind	권능의 말씀, 실명
power word, kill	권능의 말씀, 죽음
greater dispelling	상급 무효화
unbinding	결속해제
random action	임의 행동
symbol	상징
new spells	새로운 주문
intelligent, cursed, artifacts	지능있는, 저주 받은, 유물
intelligent, cursed, & artifacts	지능있는, 저주 받은, 유물
Intelligent, Cursed, and Artifacts	지능있는, 저주 받은, 유물
type of feat	특기 유형
vision and light	시야와 빛
lower than 5,000 feet	5,000 피트 미만
5,000 to 15,000 feet	5,000 피트 ~ 15,000 피트
15,000 feet	15,000 초과
optional element	선택적 원소
blast	폭발
ft. deep	ft. 깊이
trigger object only	물체 트리거 전용
involuntary change	비자발적 변경
voluntary change	자발적 변경
no adjustment	보정 없음
only summons 1d3 shadows	1d3 그림자유형만 소환 가능
composed of tiny snakes	특소형 뱀으로 구성됨
